generator:output:electricity,manufacturer,model,name,longitude,latitude
,,,SW 70111,9.936152,52.2026421
,,,SW 70101,9.9372105,52.2004418
,,,SW 70094,9.9371614,52.1979532
1 MW,,,,8.3812111,51.821656
1 MW,,,,8.3814853,51.8199957
1 MW,,,,8.3840221,51.8198394
yes,Enercon,E-48,,6.205558,50.9052566
yes,Enercon,E-48,,6.200875,50.9005626
,,,,11.6014528,50.0212123
1300 kW,AN Bonus,,,10.9435785,52.3815349
1300 kW,AN Bonus,,,10.9437333,52.3797484
1300 kW,AN Bonus,,,10.9383915,52.379251
1300 kW,AN Bonus,,,10.9435483,52.377799
1300 kW,AN Bonus,,,10.9381464,52.3767281
1300 kW,AN Bonus,,,10.9471097,52.3768396
1300 kW,AN Bonus,,,10.9550697,52.3770745
1300 kW,AN Bonus,,,10.9563341,52.3791277
1300 kW,AN Bonus,,,10.9495151,52.3800108
600 kW,Enercon,E-40/6.44,,10.239156,52.5138796
1000 kW,Fuhrländer,FL1000,,8.9788914,49.8749567
2000 kW,Vestas,V80,,10.4584577,52.2177247
yes,Vestas,,,10.453449,52.2137696
1800 kW,Enercon,E-66,,11.6662838,52.2017025
1300 kW,AN Bonus,,,10.939185,52.3747441
1300 kW,AN Bonus,,,10.9653724,52.3794546
1500 kW,Enercon E-66,E-66,Windkraftanlage Fröttmaning,11.6304904,48.2141943
1500 kW,Fuhrländer,FL-MD77,,8.2687086,49.3819369
1500 kW,Fuhrländer,FL-MD77,,8.2702764,49.3861476
110 kW,Seewind Windenergiesysteme GmbH,20/110,,6.6510165,51.5859615
1 MW,Enercon,E-58,,6.6447539,51.5871032
small_installation,,,,13.2199201,51.0853089
,,,,8.9439658,52.8309626
,,,,8.9420645,52.8319389
,,,,8.9448759,52.8343132
,,,,8.7938521,52.9497748
,,,,8.7815783,52.9511711
,,,,8.8000834,52.951621
,,,,8.6673238,52.8248179
,,,,9.55842,53.5629049
,,,,9.5646379,53.5641891
,,,,9.5598362,53.5613246
,,,,9.5648144,53.5614928
,,,,9.5688055,53.5646484
,,,,9.5697068,53.5616916
,Enercon,E-66,,9.462074,53.5178385
,Enercon,E-66,,9.4672775,53.5174519
,Enercon,E-66,,9.4582235,53.517797
,Enercon,E-66,,9.4593829,53.5152142
,Enercon,E-66,,9.4672265,53.5144965
,Enercon,E-66,,9.4670361,53.520264
,Enercon,E-66,,9.4591868,53.5103264
,Enercon,E-66,,9.4628856,53.5096109
,Enercon,E-66,,9.4669747,53.5088949
,Enercon,E-66,,9.4625766,53.5071651
,Enercon,E-66,,9.4587443,53.5078614
,Enercon,E-66,,9.4663135,53.5118203
,,,,7.8437654,53.3872008
,,,,7.5560781,51.3244444
,,,,10.0093913,52.2916934
,,,,10.0096573,52.290192
,,,,13.1497823,53.9084354
450 kW,AN Bonus,AN 450/37,,10.0259425,52.2042008
300 kW,AN Bonus,AN 300/33,,10.0262752,52.2028123
1800 kW,Enercon,E-66,,8.6438795,52.0131213
1000 kW,Enercon,E-58,,8.6414868,52.0109326
