Unit MaStR Number,Postal Code,Longitude,Latitude,Gross Power (kW),Net Rated Power (kW),Generation MaStR Number,Name of Wind Farm,Location,Hub Height (m),Rotor Diameter (m),EEG MaStR Number,Date of Final Decommissioning,North Sea Cluster,Baltic Sea Cluster
SEE941202506429,49356,8.40163,52.55829,4260,4260,SGE999006036888,WP Diepholzer Bruch,888,130.64,138.25,,,,
SEE902009399508,49356,8.406872,52.559292,5560,5560,SGE999006036888,WP Diepholzer Bruch,888,119.83,160,,,,
SEE999604938331,49356,8.413777,52.558539,5560,5560,SGE999006036888,WP Diepholzer Bruch,888,119.83,160,,,,
SEE976120647725,49356,8.421192,52.560072,5560,5560,SGE999006036888,WP Diepholzer Bruch,888,119.83,160,,,,
SEE955008589647,25842,,,6,6,SGE905477751557,Easy,888,19,6,EEG910856631627,,,
SEE917060045929,49356,8.420635,52.55648,5560,5560,SGE999006036888,WP Diepholzer Bruch,888,166.6,160,,,,
SEE999100564485,49356,8.425471,52.55361,5560,5560,SGE999006036888,WP Diepholzer Bruch,888,166.6,160,,,,
SEE973395890979,49356,8.430706,52.551952,5560,5560,SGE999006036888,WP Diepholzer Bruch,888,166.6,160,,,,
SEE949265703007,59929,8.704511,51.454703,4260,4260,SGE937038338266,Windpark Bleiw??sche,888,13.64,138.25,,,,
SEE904413520059,72131,,,5,5,,Windpark Ofterdingen,888,8,6,EEG935297799934,,,
SEE940613249796,59929,8.695463,51.460417,5560,5560,SGE971306313388,Windpark Bleiw??sche,888,166.6,160,,,,
SEE924250123466,49356,8.436164,52.552176,5560,5560,SGE999006036888,WP Diepholzer Bruch,888,119.83,160,,,,
SEE969414753073,33034,9.091607,51.655805,6200,6200,SGE959816945268,Windpark Gehrden/F??lsen,888,165,170,,,,
SEE913549236352,33034,9.092149,51.644763,6200,6200,SGE953880504307,Windpark Gehrden/F??lsen,888,165,170,,,,
SEE924016157889,33034,9.100356,51.644001,6200,6200,SGE975098409540,Windpark Gehrden/F??lsen,888,165,170,,,,
SEE915478474157,34439,9.096593,51.641406,6200,6200,SGE972470106462,Windpark Gehrden/F??lsen,888,165,170,,,,
SEE932515749474,34439,9.100997,51.639649,6200,6200,SGE978845058824,Windpark Gehrden/F??lsen,888,165,170,,,,
SEE931120790123,14548,12.866456,52.318115,6000,6000,SGE946816207779,Windpark Dachsberg II,888,169,150,,,,
SEE935497437568,98617,10.494592,50.509711,6000,6000,SGE936236568963,WP Mittelberg,888,165,160,,,,
SEE937116560930,48712,6.971809,51.943722,5560,5560,SGE955559779382,Gescher Estern Rohrhegge,888,119.83,160,,,,
SEE930341628123,52441,6.307971,51.013586,4260,4260,SGE969901119412,Linnich_neu,888,130.64,138.25,,,,
SEE900904636315,98617,10.495012,50.509184,6000,6000,SGE936236568963,WP Mittelberg,888,165,160,,,,
SEE990091079750,86641,,,0.1,0.1,,Wallerdorf,888,7,2.25,EEG976587215147,,,
SEE922358075649,19357,11.823915,53.146615,6200,6200,SGE910827839182,Bl??then-Klockow,888,166,162,,,,
SEE921478101900,19357,11.817717,53.152951,6200,6200,SGE910827839182,Bl??then-Klockow,888,166,162,,,,
SEE944088064205,25704,,,6,6,,Easywind 1,888,19,6.8,EEG934528455861,,,
SEE952744838657,95131,,,1,1,,Carport,888,,1.509,EEG931310342453,,,
SEE972452504200,59320,7.986814,51.870148,4260,4260,SGE946462103920,BeB??Wind,888,110.24,138.25,,,,
SEE952448692692,51598,7.763689,50.874437,4500,4500,SGE905325487621,Windpark Friesenhagen,888,164,149.1,,,,
SEE959106367343,51598,7.772313,50.871884,4500,4500,SGE905325487621,Windpark Friesenhagen,888,164,149.1,,,,
SEE954660215369,9221,12.831462,50.78265,5600,5600,SGE945063045974,Windpark Leukersdorf-Neukirchen,888,166,150,,,,
SEE939919055002,21483,10.549895,53.421739,5700,5700,SGE912952153065,WP L??tau WKA 1,888,105,149,,,,
SEE940166477707,21483,10.555082,53.41831,5700,5700,SGE964715561587,WP L??tau WKA 2,888,105,149,,,,
SEE957983564336,21483,10.548589,53.416452,5700,5700,SGE924351380973,WP L??tau WKA 3,888,105,149,,,,
SEE956760875658,21483,10.545857,53.412901,5700,5700,SGE950493484392,WP L??tau WKA 4,888,105,149,,,,
SEE936247909113,21483,10.554055,53.411599,5700,5700,SGE906941421044,WP L??tau WKA 5,888,105,149,,,,
